9	0.720000	B4
9	0.867143	C5
10	0.427143	D5
10	0.962857	E5
12	0.067143	G5
12	0.207143	G5
12	0.335714	G5
12	0.478571	G5
12	0.550000	G5
12	0.750000	F5
12	0.897143	E5
13	0.021429	D5
13	0.171429	D5
13	0.307143	E5
13	0.438571	E5
14	0.265714	C5
14	0.800000	D5
15	0.344286	E5
16	0.457143	G5
16	0.577143	G5
16	0.657143	G5
16	0.857143	G5
17	0.000000	G5
17	0.212857	F5
17	0.280000	E5
17	0.410000	D5
17	0.550000	D5
17	0.692857	E5
17	0.771429	E5
18	0.925714	D5
19	0.467143	C5
19	0.602857	B4
19	0.745714	A4
20	0.848571	D5
20	0.978571	D5
21	0.052857	D5
21	0.242857	D5
21	0.390000	D5
21	0.604286	C5
21	0.801429	B4
21	0.935714	A4
23	0.027143	C5
23	0.588571	D5
24	0.125714	E5
25	0.234286	G5
25	0.372857	G5
25	0.510000	G5
25	0.641429	G5
25	0.711429	G5
25	0.910000	F5
26	0.045714	E5
26	0.187143	D5
26	0.324286	D5
26	0.472857	E5
26	0.604286	E5
27	0.441429	C5
27	0.974286	D5
28	0.502857	E5
29	0.630000	G5
29	0.755714	G5
29	0.897143	G5
30	0.018571	G5
30	0.102857	G5
30	0.297143	F5
30	0.441429	E5
30	0.578571	D5
30	0.717143	D5
30	0.858571	E5
30	0.992857	E5
32	0.081429	D5
32	0.638571	C5
32	0.764286	B4
32	0.917143	A4
34	0.011429	D5
34	0.142857	D5
34	0.215714	D5
34	0.410000	D5
34	0.551429	D5
34	0.765714	C5
35	0.050000	D5
35	0.124286	E5
36	0.057143	E5
36	0.205714	E5
36	0.405714	D5
37	0.302857	F5
38	0.127143	G5
38	0.392857	A5
57	0.051429	C5
57	0.598571	D5
58	0.138571	E5
58	0.411429	A4
59	0.240000	G5
59	0.382857	G5
59	0.520000	G5
59	0.657143	A5
59	0.725714	G5
59	0.862857	F5
60	0.062857	E5
60	0.194286	D5
60	0.334286	D5
60	0.468571	F5
60	0.605714	E5
61	0.295714	B4
61	0.441429	C5
61	0.974286	D5
62	0.530000	E5
62	0.724286	D5
62	0.812857	C5
63	0.485714	E5
63	0.631429	G5
63	0.775714	A5
63	0.917143	G5
63	0.995714	F5
64	0.172857	F5
64	0.304286	E5
64	0.455714	E5
64	0.588571	D5
64	0.722857	D5
64	0.804286	E5
64	0.950000	E5
65	0.148571	A5
66	0.238571	C5
66	0.654286	B4
66	0.780000	A4
66	0.927143	E5
68	0.022857	D5
68	0.158571	D5
68	0.237143	D5
68	0.421429	D5
68	0.564286	D5
68	0.771429	E5
68	0.972857	F5
69	0.122857	E5
70	0.484286	C5
71	0.034286	B4
71	0.168571	A4
71	0.312857	E5
72	0.405714	D5
72	0.538571	D5
72	0.602857	D5
72	0.814286	D5
72	0.951429	D5
73	0.231429	E4
